city,dates,gender,outcome.runs,outcome.winner,player_of_match,team,umpires,venue,matchid,outcome.wickets,outcome.method,neutral_venue,match_type_number,year,did_win,bat_first,total_wins,win_percentage
Brisbane,2017-01-13,male,92.0,Australia,MS Wade,Australia,MD Martell,"Brisbane Cricket Ground, Woolloongabba",1000887,,,,,2017,True,True,5,0.45454545454545453
,2017-01-15,male,,Pakistan,Mohammad Hafeez,Australia,CB Gaffaney,Melbourne Cricket Ground,1000889,6.0,,,,2017,False,True,5,0.45454545454545453
Perth,2017-01-19,male,,Australia,SPD Smith,Australia,SD Fry,Western Australia Cricket Association Ground,1000891,7.0,,,,2017,True,False,5,0.45454545454545453
,2017-01-22,male,86.0,Australia,DA Warner,Australia,CB Gaffaney,Sydney Cricket Ground,1000893,,,,,2017,True,True,5,0.45454545454545453
,2017-01-26,male,57.0,Australia,DA Warner,Australia,SD Fry,Adelaide Oval,1000895,,,,,2017,True,True,5,0.45454545454545453
Auckland,2017-01-30,male,6.0,New Zealand,MP Stoinis,Australia,RSA Palliyaguruge,Eden Park,1020013,,,,,2017,False,False,5,0.45454545454545453
Hamilton,2017-02-05,male,24.0,New Zealand,TA Boult,Australia,RSA Palliyaguruge,Seddon Park,1020017,,,,,2017,False,False,5,0.45454545454545453
Kolkata,2017-09-21,male,50.0,India,V Kohli,Australia,AK Chaudhary,Eden Gardens,1119497,,,,3912.0,2017,False,False,5,0.45454545454545453
Indore,2017-09-24,male,,India,HH Pandya,Australia,C Shamshuddin,Holkar Cricket Stadium,1119498,5.0,,,3914.0,2017,False,True,5,0.45454545454545453
Bengaluru,2017-09-28,male,21.0,Australia,DA Warner,Australia,C Shamshuddin,M.Chinnaswamy Stadium,1119499,,,,3917.0,2017,True,True,5,0.45454545454545453
Nagpur,2017-10-01,male,,India,RG Sharma,Australia,M Erasmus,"Vidarbha Cricket Association Stadium, Jamtha",1119500,7.0,,,3919.0,2017,False,True,5,0.45454545454545453
Brisbane,2017-01-13,male,92.0,Australia,MS Wade,Pakistan,C Shamshuddin,"Brisbane Cricket Ground, Woolloongabba",1000887,,,,,2017,False,False,11,0.6875
,2017-01-15,male,,Pakistan,Mohammad Hafeez,Pakistan,P Wilson,Melbourne Cricket Ground,1000889,6.0,,,,2017,True,False,11,0.6875
Perth,2017-01-19,male,,Australia,SPD Smith,Pakistan,C Shamshuddin,Western Australia Cricket Association Ground,1000891,7.0,,,,2017,False,True,11,0.6875
,2017-01-22,male,86.0,Australia,DA Warner,Pakistan,MD Martell,Sydney Cricket Ground,1000893,,,,,2017,False,False,11,0.6875
,2017-01-26,male,57.0,Australia,DA Warner,Pakistan,C Shamshuddin,Adelaide Oval,1000895,,,,,2017,False,False,11,0.6875
Cardiff,2017-06-12,male,,Pakistan,Sarfraz Ahmed,Pakistan,M Erasmus,Sophia Gardens,1022369,3.0,,1.0,,2017,True,False,11,0.6875
Cardiff,2017-06-14,male,,Pakistan,Hasan Ali,Pakistan,RJ Tucker,Sophia Gardens,1022371,8.0,,,,2017,True,False,11,0.6875
London,2017-06-18,male,180.0,Pakistan,Fakhar Zaman,Pakistan,RA Kettleborough,Kennington Oval,1022375,,,1.0,,2017,True,True,11,0.6875
Guyana,2017-04-07,male,,West Indies,JN Mohammed,Pakistan,JS Wilson,Providence Stadium,1077949,4.0,,,,2017,False,True,11,0.6875
Guyana,2017-04-09,male,74.0,Pakistan,Babar Azam,Pakistan,IJ Gould,Providence Stadium,1077950,,,,,2017,True,True,11,0.6875
Guyana,2017-04-11,male,,Pakistan,Shoaib Malik,Pakistan,JS Wilson,Providence Stadium,1077951,6.0,,,,2017,True,False,11,0.6875
,2017-10-13,male,83.0,Pakistan,Shoaib Malik,Pakistan,Ahsan Raza,Dubai International Cricket Stadium,1120286,,,,3922.0,2017,True,True,11,0.6875
Abu Dhabi,2017-10-16,male,32.0,Pakistan,Shadab Khan,Pakistan,RA Kettleborough,Sheikh Zayed Stadium,1120287,,,,3924.0,2017,True,True,11,0.6875
Abu Dhabi,2017-10-18,male,,Pakistan,Imam-ul-Haq,Pakistan,S Ravi,Sheikh Zayed Stadium,1120288,7.0,,,3926.0,2017,True,False,11,0.6875
,2017-10-20,male,,Pakistan,Babar Azam,Pakistan,Shozab Raza,Sharjah Cricket Stadium,1120289,7.0,,,3927.0,2017,True,False,11,0.6875
,2017-10-23,male,,Pakistan,Usman Shinwari,Pakistan,S Ravi,Sharjah Cricket Stadium,1120290,9.0,,,3930.0,2017,True,False,11,0.6875
,2016-12-04,male,68.0,Australia,SPD Smith,Australia,HDPK Dharmasena,Sydney Cricket Ground,1001371,,,,,2016,True,True,17,0.6071428571428571
Canberra,2016-12-06,male,116.0,Australia,DA Warner,Australia,HDPK Dharmasena,Manuka Oval,1001373,,,,,2016,True,True,17,0.6071428571428571
,2016-12-09,male,117.0,Australia,DA Warner,Australia,NJ Llong,Melbourne Cricket Ground,1001375,,,,,2016,True,True,17,0.6071428571428571
Perth,2016-01-12,male,,Australia,SPD Smith,Australia,SD Fry,Western Australia Cricket Association Ground,895807,5.0,,,,2016,True,False,17,0.6071428571428571
Brisbane,2016-01-15,male,,Australia,RG Sharma,Australia,RA Kettleborough,"Brisbane Cricket Ground, Woolloongabba",895809,7.0,,,,2016,True,False,17,0.6071428571428571
,2016-01-17,male,,Australia,GJ Maxwell,Australia,SD Fry,Melbourne Cricket Ground,895811,3.0,,,,2016,True,False,17,0.6071428571428571
Canberra,2016-01-20,male,25.0,Australia,KW Richardson,Australia,RA Kettleborough,Manuka Oval,895813,,,,,2016,True,True,17,0.6071428571428571
,2016-01-23,male,,India,MK Pandey,Australia,RA Kettleborough,Sydney Cricket Ground,895815,6.0,,,,2016,False,True,17,0.6071428571428571
Auckland,2016-02-03,male,159.0,New Zealand,MJ Guptill,Australia,DJ Walker,Eden Park,914231,,,,,2016,False,False,17,0.6071428571428571
Wellington,2016-02-06,male,,Australia,MR Marsh,Australia,S Ravi,Westpac Stadium,914233,4.0,,,,2016,True,False,17,0.6071428571428571
Hamilton,2016-02-08,male,55.0,New Zealand,IS Sodhi,Australia,DJ Walker,Seddon Park,914235,,,,,2016,False,False,17,0.6071428571428571
Guyana,2016-06-05,male,,Australia,NM Lyon,Australia,NJ Llong,Providence Stadium,932851,6.0,,,,2016,True,False,17,0.6071428571428571
Guyana,2016-06-07,male,47.0,South Africa,F Behardien,Australia,RK Illingworth,Providence Stadium,932853,,,1.0,,2016,False,False,17,0.6071428571428571
St Kitts,2016-06-11,male,36.0,Australia,DA Warner,Australia,NJ Llong,"Warner Park, Basseterre",932855,,,1.0,,2016,True,True,17,0.6071428571428571
St Kitts,2016-06-13,male,,West Indies,MN Samuels,Australia,RK Illingworth,"Warner Park, Basseterre",932857,4.0,,,,2016,False,True,17,0.6071428571428571
Barbados,2016-06-21,male,,Australia,MN Samuels,Australia,RA Kettleborough,"Kensington Oval, Bridgetown",932863,6.0,,,,2016,True,False,17,0.6071428571428571
Barbados,2016-06-26,male,58.0,Australia,MR Marsh,Australia,JS Wilson,"Kensington Oval, Bridgetown",932867,,,,,2016,True,True,17,0.6071428571428571
Benoni,2016-09-27,male,,Australia,UT Khawaja,Australia,BP Jele,Willowmoore Park,936133,9.0,,1.0,,2016,True,False,17,0.6071428571428571
Centurion,2016-09-30,male,,South Africa,Q de Kock,Australia,JS Wilson,SuperSport Park,936135,6.0,,,,2016,False,True,17,0.6071428571428571
Johannesburg,2016-10-02,male,142.0,South Africa,F du Plessis,Australia,NJ Llong,New Wanderers Stadium,936137,,,,,2016,False,False,17,0.6071428571428571
Durban,2016-10-05,male,,South Africa,DA Miller,Australia,JS Wilson,Kingsmead,936139,4.0,,,,2016,False,True,17,0.6071428571428571
Port Elizabeth,2016-10-09,male,,South Africa,KJ Abbott,Australia,NJ Llong,St George's Park,936141,6.0,,,,2016,False,True,17,0.6071428571428571
Cape Town,2016-10-12,male,31.0,South Africa,DA Warner,Australia,JS Wilson,Newlands,936143,,,,,2016,False,False,17,0.6071428571428571
Colombo,2016-08-21,male,,Australia,JP Faulkner,Australia,REJ Martinesz,R Premadasa Stadium,995457,3.0,,,,2016,True,False,17,0.6071428571428571
Colombo,2016-08-24,male,82.0,Sri Lanka,AD Mathews,Australia,RR Wimalasiri,R Premadasa Stadium,995459,,,,,2016,False,False,17,0.6071428571428571
,2016-08-28,male,,Australia,GJ Bailey,Australia,REJ Martinesz,Rangiri Dambulla International Stadium,995461,2.0,,,,2016,True,False,17,0.6071428571428571
,2016-08-31,male,,Australia,JW Hastings,Australia,RSA Palliyaguruge,Rangiri Dambulla International Stadium,995463,6.0,,,,2016,True,False,17,0.6071428571428571
,2016-09-01,male,,Australia,DA Warner,Australia,RSA Palliyaguruge,Pallekele International Cricket Stadium,995465,5.0,,,,2016,True,False,17,0.6071428571428571
,2016-12-04,male,68.0,Australia,SPD Smith,New Zealand,MD Martell,Sydney Cricket Ground,1001371,,,,,2016,False,False,9,0.5625
Canberra,2016-12-06,male,116.0,Australia,DA Warner,New Zealand,P Wilson,Manuka Oval,1001373,,,,,2016,False,False,9,0.5625
,2016-12-09,male,117.0,Australia,DA Warner,New Zealand,MD Martell,Melbourne Cricket Ground,1001375,,,,,2016,False,False,9,0.5625
Christchurch,2016-12-26,male,77.0,New Zealand,TWM Latham,New Zealand,WR Knights,Hagley Oval,1019973,,,,,2016,True,True,9,0.5625
Nelson,2016-12-29,male,67.0,New Zealand,NT Broom,New Zealand,CM Brown,Saxton Oval,1019975,,,,,2016,True,True,9,0.5625
Nelson,2016-12-31,male,,New Zealand,KS Williamson,New Zealand,CM Brown,Saxton Oval,1019977,8.0,,,,2016,True,False,9,0.5625
Dharmasala,2016-10-16,male,,India,HH Pandya,New Zealand,C Shamshuddin,Himachal Pradesh Cricket Association Stadium,1030219,6.0,,,,2016,False,True,9,0.5625
Delhi,2016-10-20,male,6.0,New Zealand,KS Williamson,New Zealand,BNJ Oxenford,Feroz Shah Kotla,1030221,,,,,2016,True,True,9,0.5625
Chandigarh,2016-10-23,male,,India,V Kohli,New Zealand,C Shamshuddin,"Punjab Cricket Association Stadium, Mohali",1030223,7.0,,,,2016,False,True,9,0.5625
Ranchi,2016-10-26,male,19.0,New Zealand,MJ Guptill,New Zealand,BNJ Oxenford,JSCA International Stadium Complex,1030225,,,,,2016,True,True,9,0.5625
Visakhapatnam,2016-10-29,male,190.0,India,A Mishra,New Zealand,BNJ Oxenford,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1030227,,,,,2016,False,False,9,0.5625
Mount Maunganui,2016-01-05,male,36.0,New Zealand,MJ Henry,New Zealand,BF Bowden,Bay Oval,914215,,,,,2016,True,True,9,0.5625
Wellington,2016-01-25,male,70.0,New Zealand,HM Nicholls,New Zealand,NJ Llong,Basin Reserve,914227,,,,,2016,True,True,9,0.5625
Auckland,2016-02-03,male,159.0,New Zealand,MJ Guptill,New Zealand,IJ Gould,Eden Park,914231,,,,,2016,True,True,9,0.5625
Wellington,2016-02-06,male,,Australia,MR Marsh,New Zealand,BF Bowden,Westpac Stadium,914233,4.0,,,,2016,False,True,9,0.5625
Hamilton,2016-02-08,male,55.0,New Zealand,IS Sodhi,New Zealand,IJ Gould,Seddon Park,914235,,,,,2016,True,True,9,0.5625
Edinburgh,2016-09-10,male,53.0,Scotland,,Scotland,GO Brathwaite,"Grange Cricket Club Ground, Raeburn Place",1004285,,,,,2016,True,True,3,1.0
Edinburgh,2016-08-14,male,98.0,Scotland,,Scotland,DA Haggo,"Grange Cricket Club Ground, Raeburn Place",997993,,,,,2016,True,True,3,1.0
Edinburgh,2016-08-16,male,,Scotland,,Scotland,DA Haggo,"Grange Cricket Club Ground, Raeburn Place",997995,7.0,,,,2016,True,False,3,1.0
Edinburgh,2016-09-10,male,53.0,Scotland,,Hong Kong,IN Ramage,"Grange Cricket Club Ground, Raeburn Place",1004285,,,,,2016,False,False,1,0.3333333333333333
Hong Kong,2016-11-04,male,106.0,Hong Kong,Babar Hayat,Hong Kong,Sharfuddoula,"Mission Road Ground, Mong Kok",1026847,,,,,2016,True,True,1,0.3333333333333333
Hong Kong,2016-11-06,male,14.0,Papua New Guinea,CA Soper,Hong Kong,Sharfuddoula,"Mission Road Ground, Mong Kok",1026849,,,,,2016,False,False,1,0.3333333333333333
,2016-06-11,male,,India,KL Rahul,Zimbabwe,IJ Gould,Harare Sports Club,1007649,9.0,,,,2016,False,True,2,0.25
,2016-06-13,male,,India,YS Chahal,Zimbabwe,IJ Gould,Harare Sports Club,1007651,8.0,,,,2016,False,True,2,0.25
,2016-06-15,male,,India,KL Rahul,Zimbabwe,IJ Gould,Harare Sports Club,1007653,10.0,,,,2016,False,True,2,0.25
,2016-11-14,male,,Sri Lanka,DM de Silva,Zimbabwe,C Shamshuddin,Harare Sports Club,1059710,8.0,,,,2016,False,True,2,0.25
Bulawayo,2016-11-27,male,,Sri Lanka,BKG Mendis,Zimbabwe,RK Illingworth,Queens Sports Club,1059716,6.0,,,,2016,False,True,2,0.25
,2016-01-02,male,117.0,Zimbabwe,H Masakadza,Zimbabwe,VA Kulkarni,Sharjah Cricket Stadium,953339,,,1.0,,2016,True,True,2,0.25
